reply_settings,public_metrics,source,author_id,text,created_at,id,conversation_id,lang,search_query,geo,in_reply_to_user_id,referenced_tweets
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,2997464521,কিছু কথা না বলে তা লুকিয়ে রাখাতেই যেন আনন্দ ... #depressed #feelings #loneliness,2016-09-27T05:16:02.000Z,780637097916903424,780637097916903424,bn,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",IFTTT,89917813,#DeadMan #Sick #Sad #Depressed #Bored কিচ্ছু ভাল্লাগেনা কে?? :(,2014-09-13T16:18:28.000Z,510824843559043074,510824843559043074,bn,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android,335025673,@someuser মাঝে মাঝে মনে হয় জীবনটা এত্তো সুন্দর কেন?! আর মাঝে মাঝে ঠিক এর উল্টো।| আজিব মন আমার। #Depressed,2014-08-17T15:21:17.000Z,501025982870855681,501025982870855681,bn,#depressed,"{'coordinates': {'type': 'Point', 'coordinates': [90.3547301, 22.7016718]}, 'place_id': '9f4e63426a3f3da2'}",,
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,128640274,মাঝে মধ্যে নিজেকে অনেক বেশি হেল্পলেস লাগে :| #depressed,2013-08-24T15:44:00.000Z,371296843394588673,371296843394588673,bn,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,143544535,"@someuser লিখতেও পারতেছি না... এই রকম #Depressed হয়ে লিখতেই পারতেছি না... ইসস, তারে নিয়ে লিখা আমার টুইটগুলি যদি তারে দেখাইতে পারতাম :(",2013-07-19T01:32:14.000Z,358036527948890112,358035351689887744,bn,#depressed,,494696715,"[{'type': 'replied_to', 'id': '358035817219891202'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,282449622,ধুর !!! ভাল্লাগতেছেনা ! আম্মুরে হুদাই ফোন দিয়া জালাইতেছি :/  #lonely #depressed #faul #ajaira #faltu,2013-07-15T14:49:48.000Z,356787690005467137,356787690005467137,bn,#depressed,,,
everyone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web Client,282449622,@someuser hmm :) হায়রে !! আমার ফ্রেন্ড রা !!! #depressed :(,2013-07-10T20:28:24.000Z,355060963076083712,355059532134756353,bn,#depressed,,168036350,"[{'type': 'replied_to', 'id': '355060655675543552'}]"
everyone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,352210236,@someuser আমার অবস্থা অতটা খারাপ নয় অবশ্য ৷ তবে ঢাকা ইউনিভার্সিটির কথা মনে হইলে কান্না চইলা আসে ৷ #depressed #lifeisabitch,2013-03-21T13:27:12.000Z,314729909245333504,314431934371602432,bn,#depressed,,54851363,"[{'type': 'replied_to', 'id': '314728705522008065'}]"
